sizeRow,sizeColumn,0,1,2,3,4,5,6,7,8,9
10.0,10.0,0.0,10.833333333333334,21.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,6.7309703885627945,8.125,0.0,0.0,0.0,0.0,0.0,2.0,4.0
,,0.0,7.865887129544117,7.777777777777779,0.0,0.0,0.0,0.0,0.0,2.2855339059327378,2.7529299758926316
,,0.0,6.903559372884917,7.5,0.0,0.0,0.0,0.0,0.0,2.3468722548293783,0.0
,,0.0,10.714285714285714,18.75,9.84848484848485,10.990573636099937,11.759692224147273,6.1919913401508735,5.370312858888608,4.759126119391312,0.0
,,0.0,0.0,0.0,0.0,0.0,7.344757082487301,6.234943082396273,6.221286217652326,4.101779962499649,0.0
,,0.0,0.0,0.0,0.0,0.0,5.997583711458272,7.45912476989724,5.336011168866321,3.5292207770971613,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.128839404036734,5.315514829009597,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.320664092423437,6.88932863726934,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,7.9278705416304085,15.64235032770828,0.0,0.0
